"s","p"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/birthPlace"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/birthDate"
"http://dbpedia.org/resource/Peter_Lehel","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/wikiPageID"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/wikiPageRevisionID"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/wikiPageExternalLink"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/name"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/homepage"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/depiction"
"http://dbpedia.org/resource/Peter_Lehel","http://purl.org/dc/terms/description"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/givenName"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/gender"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/isPrimaryTopicOf"
"http://dbpedia.org/resource/Peter_Lehel","http://xmlns.com/foaf/0.1/surname"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/thumbnail"
"http://dbpedia.org/resource/Peter_Lehel","http://www.w3.org/ns/prov#wasDerivedFrom"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/activeYearsStartYear"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/associatedBand"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/associatedMusicalArtist"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/background"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/genre"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/hometown"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/instrument"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/occupation"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/ontology/recordLabel"
"http://dbpedia.org/resource/Peter_Lehel","http://dbpedia.org/property/imageSize"
"http://dbpedia.org/resource/Peter_Lehel","http://purl.org/linguistics/gold/hypernym"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://www.w3.org/2000/01/rdf-schema#label"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://www.w3.org/2000/01/rdf-schema#comment"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/birthPlace"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/birthDate"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/wikiPageID"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/wikiPageRevisionID"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/wikiPageExternalLink"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/name"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/homepage"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/depiction"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://purl.org/dc/terms/description"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/givenName"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/gender"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/isPrimaryTopicOf"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://xmlns.com/foaf/0.1/surname"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/thumbnail"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://www.w3.org/ns/prov#wasDerivedFrom"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/activeYearsStartYear"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/background"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/ontology/genre"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/after"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/before"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/caption"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/instrument"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/label"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/occupation"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/title"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://dbpedia.org/property/years"
"http://dbpedia.org/resource/Pietro_Lombardi_(singer)","http://purl.org/linguistics/gold/hypernym"
"http://dbpedia.org/resource/Rico_Seith","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://dbpedia.org/resource/Rico_Seith","http://www.w3.org/2000/01/rdf-schema#label"
"http://dbpedia.org/resource/Rico_Seith","http://www.w3.org/2000/01/rdf-schema#comment"
"http://dbpedia.org/resource/Rico_Seith","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/birthPlace"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/birthDate"
"http://dbpedia.org/resource/Rico_Seith","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/wikiPageID"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/wikiPageRevisionID"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/wikiPageExternalLink"
"http://dbpedia.org/resource/Rico_Seith","http://xmlns.com/foaf/0.1/name"
"http://dbpedia.org/resource/Rico_Seith","http://xmlns.com/foaf/0.1/homepage"
"http://dbpedia.org/resource/Rico_Seith","http://purl.org/dc/terms/description"
"http://dbpedia.org/resource/Rico_Seith","http://xmlns.com/foaf/0.1/givenName"
"http://dbpedia.org/resource/Rico_Seith","http://xmlns.com/foaf/0.1/gender"
"http://dbpedia.org/resource/Rico_Seith","http://xmlns.com/foaf/0.1/isPrimaryTopicOf"
"http://dbpedia.org/resource/Rico_Seith","http://xmlns.com/foaf/0.1/surname"
"http://dbpedia.org/resource/Rico_Seith","http://www.w3.org/ns/prov#wasDerivedFrom"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/activeYearsEndYear"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/activeYearsStartYear"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/background"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/genre"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/ontology/recordLabel"
"http://dbpedia.org/resource/Rico_Seith","http://dbpedia.org/property/imageSize"
"http://dbpedia.org/resource/Rico_Seith","http://purl.org/linguistics/gold/hypernym"
"http://dbpedia.org/resource/Rolf_Ellmer","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://dbpedia.org/resource/Rolf_Ellmer","http://www.w3.org/2000/01/rdf-schema#label"
"http://dbpedia.org/resource/Rolf_Ellmer","http://www.w3.org/2000/01/rdf-schema#comment"
"http://dbpedia.org/resource/Rolf_Ellmer","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/birthPlace"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/birthDate"
"http://dbpedia.org/resource/Rolf_Ellmer","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/wikiPageID"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/wikiPageRevisionID"
"http://dbpedia.org/resource/Rolf_Ellmer","http://xmlns.com/foaf/0.1/name"
"http://dbpedia.org/resource/Rolf_Ellmer","http://purl.org/dc/terms/description"
"http://dbpedia.org/resource/Rolf_Ellmer","http://xmlns.com/foaf/0.1/givenName"
"http://dbpedia.org/resource/Rolf_Ellmer","http://xmlns.com/foaf/0.1/gender"
"http://dbpedia.org/resource/Rolf_Ellmer","http://xmlns.com/foaf/0.1/isPrimaryTopicOf"
"http://dbpedia.org/resource/Rolf_Ellmer","http://xmlns.com/foaf/0.1/surname"
"http://dbpedia.org/resource/Rolf_Ellmer","http://www.w3.org/ns/prov#wasDerivedFrom"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/activeYearsStartYear"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/background"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/genre"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/ontology/hometown"
"http://dbpedia.org/resource/Rolf_Ellmer","http://dbpedia.org/property/occupation"
"http://dbpedia.org/resource/Wawau_Adler","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://dbpedia.org/resource/Wawau_Adler","http://www.w3.org/2000/01/rdf-schema#label"
"http://dbpedia.org/resource/Wawau_Adler","http://www.w3.org/2000/01/rdf-schema#comment"
"http://dbpedia.org/resource/Wawau_Adler","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Wawau_Adler","http://dbpedia.org/ontology/birthPlace"
"http://dbpedia.org/resource/Wawau_Adler","http://dbpedia.org/ontology/birthDate"
"http://dbpedia.org/resource/Wawau_Adler","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Wawau_Adler","http://dbpedia.org/ontology/wikiPageID"
"http://dbpedia.org/resource/Wawau_Adler","http://dbpedia.org/ontology/wikiPageRevisionID"
"http://dbpedia.org/resource/Wawau_Adler","http://dbpedia.org/ontology/wikiPageExternalLink"
"http://dbpedia.org/resource/Wawau_Adler","http://xmlns.com/foaf/0.1/name"
"http://dbpedia.org/resource/Wawau_Adler","http://xmlns.com/foaf/0.1/homepage"
"http://dbpedia.org/resource/Wawau_Adler","http://purl.org/dc/terms/description"
"http://dbpedia.org/resource/Wawau_Adler","http://xmlns.com/foaf/0.1/gender"
"http://dbpedia.org/resource/Wawau_Adler","http://xmlns.com/foaf/0.1/isPrimaryTopicOf"
"http://dbpedia.org/resource/Wawau_Adler","http://www.w3.org/ns/prov#wasDerivedFrom"
"http://dbpedia.org/resource/Wawau_Adler","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Wawau_Adler","http://purl.org/linguistics/gold/hypernym"
