,m,connected,bipartite,n_t,n_b,density,k_t,k_b,m_t,n_t_om,density_t,k_t_om,m_b,n_b_om,density_b,k_b_om,rc_t_density,rc_t_ncomponents,rc_t_slcc,rc_b_density,rc_b_ncomponents,rc_b_slcc
WrittenWork,1430486.0,False,True,90862.0,6235.0,0.002525020229925773,15.743501133587198,229.4283881315156,2887891628.0,90862.0,0.6996020656323598,63569.341786083554,289775.0,6235.0,0.014910343695578403,92.9510825982358,0.0005486967252934732,,,8.180551600265396e-06,-0.003372145706788285,0.0022511993524303147
Comic,123468.0,True,True,6688.0,996.0,0.018535265463768952,18.461124401913874,123.96385542168673,20051129.0,6688.0,0.8966877548596398,5996.151016746414,30026.0,996.0,0.060596153458053324,60.293172690763036,0.006494443510962515,0.017903226484523412,0.017125478135061562,0.0004168102406500485,0.017247571590006373,0.017191519799955663
Manga,81038.0,True,True,3783.0,459.0,0.04667020272437697,21.421623050489032,176.55337690631808,7022957.0,3783.0,0.9817301733813479,3712.9035157282574,13906.0,459.0,0.13229823710173055,60.59259259259258,0.026931740275735545,0.04560185905256986,0.045570751950818535,0.0025673122923187235,0.04422277552876886,0.04416505926882868
PeriodicalLiterature,368326.0,False,True,22235.0,1743.0,0.009503812416294366,16.56514504160108,211.3172690763052,213458452.0,22235.0,0.8635522422048179,19202.811442965143,46922.0,1743.0,0.030907293270177643,53.87141216991967,0.0029737545230554105,,,0.0001124808899607054,0.002970839427643671,0.008701781570918853
AcademicJournal,174820.0,False,True,7688.0,561.0,0.04053357224074002,22.73933402705515,311.62210338680933,28393284.0,7688.0,0.960893745092022,7387.3511122674645,13269.0,561.0,0.08447288006111535,47.389285714285705,0.02601538670724184,,,0.0018459058002714085,0.03850505120076558,0.038384751274667166
Magazine,102287.0,True,True,6728.0,1011.0,0.015037765318711769,15.2031807372176,101.17408506429277,18858004.0,6728.0,0.8333324789961196,5605.827586206896,24330.0,1011.0,0.04765402356259365,48.13056379821957,0.0063484811839096275,0.014456850958763841,0.01431187221520609,0.0002687593090594776,0.01374527613284546,0.013648885697131094
Newspaper,97900.0,False,True,8060.0,958.0,0.012678916477152049,12.14640198511166,102.19206680584551,27410988.0,8060.0,0.8439923061220028,6805.111221449845,22051.0,958.0,0.048103960925212096,46.083594566353185,0.005747190439302675,0.01219123743470322,0.012147825038973959,0.000191828090213561,-0.005425003959663988,0.011495829153686923
