,m,connected,bipartite,n_t,n_b,density,k_t,k_b,m_t,n_t_om,density_t,k_t_om,m_b,n_b_om,density_b,k_b_om,rc_t_density,rc_t_ncomponents,rc_t_slcc,rc_b_density,rc_b_ncomponents,rc_b_slcc
Region,2487134.0,True,True,100817.0,8919.0,0.0027659813693688877,24.669787833401113,278.85794371566317,4343252449.0,100817.0,0.8546372866343456,86161.11268932796,804500.0,8919.0,0.020228906738101737,180.40139029039142,0.0005322937209250629,,,1.1327589230993328e-05,0.002567699846953637,0.00254604118485648
AdministrativeRegion,2487134.0,True,True,100817.0,8919.0,0.0027659813693688877,24.669787833401113,278.85794371566317,4343252449.0,100817.0,0.8546372866343456,86161.11268932819,804500.0,8919.0,0.020228906738101737,180.4013902903913,0.0005322937209250629,,,1.1327589230993328e-05,0.002567699846953637,0.00254604118485648
GovernmentalAdministrativeRegion,1557845.0,True,True,66008.0,7376.0,0.003199681590557221,23.600851411950067,211.20458242950107,1822211651.0,66008.0,0.8364543538448691,55211.84253423824,588805.0,7376.0,0.02164803853082834,159.65428416485898,0.000648184497667755,,,1.5287187825683217e-05,0.0029708920747150303,0.002949641440482108
District,1557845.0,True,True,66008.0,7376.0,0.003199681590557221,23.600851411950067,211.20458242950107,1822211651.0,66008.0,0.8364543538448691,55211.84253423826,588805.0,7376.0,0.02164803853082834,159.65428416485898,,,,,,
