t,b
http://dbpedia.org/resource/12_Gauge_(rapper),http://xmlns.com/foaf/0.1/gender
http://dbpedia.org/resource/12_Gauge_(rapper),http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/12_Gauge_(rapper),http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/activeYearsEndYear
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/activeYearsStartYear
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/background
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/genre
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/occupation
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/ontology/recordLabel
http://dbpedia.org/resource/12_Gauge_(rapper),http://dbpedia.org/property/wordnet_type
http://dbpedia.org/resource/12_Gauge_(rapper),http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/12th_Planet_(musician),http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/12th_Planet_(musician),http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/12th_Planet_(musician),http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/birthDate
http://dbpedia.org/resource/12th_Planet_(musician),http://purl.org/dc/terms/subject
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/12th_Planet_(musician),http://xmlns.com/foaf/0.1/name
http://dbpedia.org/resource/12th_Planet_(musician),http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/property/name
http://dbpedia.org/resource/12th_Planet_(musician),http://xmlns.com/foaf/0.1/depiction
http://dbpedia.org/resource/12th_Planet_(musician),http://purl.org/dc/terms/description
http://dbpedia.org/resource/12th_Planet_(musician),http://xmlns.com/foaf/0.1/gender
http://dbpedia.org/resource/12th_Planet_(musician),http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/thumbnail
http://dbpedia.org/resource/12th_Planet_(musician),http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/activeYearsStartYear
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/background
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/genre
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/hometown
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/occupation
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/ontology/recordLabel
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/property/artist
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/property/birthName
http://dbpedia.org/resource/12th_Planet_(musician),http://dbpedia.org/property/caption
